,"citrus fruit,semi-finished bread,margarine,ready soups"
7456,"whole milk,rolls/buns,brown bread,oil,sauces"
7457,"pip fruit,pastry"
7458,"rolls/buns,newspapers"
7459,"root vegetables,frozen vegetables,rolls/buns,fruit/vegetable juice,canned beer"
7460,"frankfurter,tropical fruit,pip fruit,other vegetables,frozen vegetables,frozen fish,zwieback,margarine"
7461,"whole milk,whipped/sour cream"
7462,"frankfurter,tropical fruit,pip fruit,whole milk,curd,pastry,flour,margarine,sugar,organic products"
7463,"root vegetables,whole milk,whipped/sour cream,soda"
7464,pip fruit
7465,"sausage,rolls/buns,bottled beer"
7466,"UHT-milk,domestic eggs,oil,margarine"
7467,"pork,other vegetables,Instant food products,detergent"
7468,"citrus fruit,other vegetables,UHT-milk,rolls/buns"
7469,"beef,hamburger meat,whole milk,soft cheese,frozen chicken,rolls/buns,margarine,seasonal products"
7470,"whole milk,hard cheese,brown bread,coffee,soda"
7471,"beef,grapes,other vegetables,whole milk,dessert,yogurt,frozen vegetables,cake bar,dishes,newspapers"
7472,"sausage,ham,root vegetables,other vegetables,whole milk,yogurt,rolls/buns,pastry,margarine,bottled water,shopping bags"
7473,bottled beer
7474,rolls/buns
7475,"root vegetables,margarine,pet care"
7476,"citrus fruit,butter,yogurt,cream cheese,rolls/buns,bottled water,soda,newspapers"
7477,"tropical fruit,rolls/buns,newspapers"
7478,"frankfurter,sausage,rolls/buns,soda,liquor (appetizer),specialty bar,shopping bags"
7479,"sausage,soda"
7480,"tropical fruit,onions,whole milk,cream cheese,specialty cheese,bottled water,soda"
7481,"frankfurter,berries,whole milk,rice,coffee,cling film/bags"
7482,"sausage,citrus fruit,berries,other vegetables,whole milk,butter,whipped/sour cream,brown bread,soups,coffee,bottled water,bottled beer,waffles"
7483,"tropical fruit,hard cheese,frozen vegetables,domestic eggs,semi-finished bread"
7484,whipped/sour cream
7485,"beef,whole milk,rolls/buns,coffee"
7486,"ham,beef,citrus fruit,newspapers"
7487,"tropical fruit,frozen dessert,rolls/buns,bottled water,flower (seeds)"
7488,"sausage,cream cheese,domestic eggs,rolls/buns,cereals,canned vegetables,cat food,soda,misc. beverages"
7489,"frankfurter,domestic eggs,mustard,seasonal products"
7490,"sausage,pip fruit,root vegetables,other vegetables,whole milk,yogurt,pastry,soda,napkins,shopping bags"
7491,"frankfurter,sausage,pork,beef,hamburger meat,tropical fruit,root vegetables,whole milk,yogurt,spread cheese,rolls/buns,pastry,bottled beer,canned beer,newspapers"
7492,"beef,tropical fruit,margarine,bottled water"
7493,"frankfurter,sausage,ham,grapes,other vegetables,dessert,whipped/sour cream,bottled water,soda"
7494,"bottled water,red/blush wine"
7495,beverages
7496,canned beer
7497,"pastry,soda"
7498,"frankfurter,tropical fruit,other vegetables,spices,flower (seeds)"
7499,"other vegetables,soda,shopping bags"
7500,"frankfurter,rolls/buns,pastry"
7501,"pork,whipped/sour cream,rolls/buns,oil,soda,long life bakery product,chocolate,candy"
7502,canned beer
7503,"grapes,pasta,dishes"
7504,"bottled water,misc. beverages,fruit/vegetable juice,bottled beer"
7505,"beef,citrus fruit,domestic eggs,salty snack,long life bakery product,napkins"
7506,"herbs,whole milk,butter,soups,bottled water,bottled beer"
7507,"frankfurter,meat,whole milk,butter,yogurt,cream cheese,rolls/buns,pastry"
7508,"sausage,finished products,pork,berries,root vegetables,packaged fruit/vegetables,whole milk,curd,frozen vegetables,brown bread,sugar,soda,fruit/vegetable juice,chocolate,specialty chocolate,specialty bar,hygiene articles,napkins"
7509,"sausage,rolls/buns"
7510,newspapers
7511,"ham,hard cheese,pastry,fruit/vegetable juice"
7512,"finished products,other vegetables,long life bakery product"
7513,"citrus fruit,berries,pastry,male cosmetics,hygiene articles"
7514,"berries,other vegetables,yogurt,frozen fish,oil,margarine,salty snack"
7515,other vegetables
7516,soda
7517,"sausage,whole milk,yogurt,UHT-milk,rolls/buns"
7518,"liver loaf,beef,whole milk,yogurt,soft cheese,frozen vegetables,white bread,roll products,vinegar,baking powder,fruit/vegetable juice"
7519,soda
7520,beverages
7521,"hamburger meat,cream cheese,sweet spreads,coffee,canned beer,cling film/bags,shopping bags"
7522,"chicken,tropical fruit,root vegetables,other vegetables,beverages,coffee,bottled beer,liquor"
7523,"tropical fruit,butter,bottled water,male cosmetics,newspapers"
7524,"nuts/prunes,root vegetables,yogurt,condensed milk,ice cream,semi-finished bread,bottled beer,brandy,salty snack"
7525,"pork,root vegetables,whole milk,sliced cheese,frozen fish,domestic eggs,cake bar,chocolate marshmallow,candy"
7526,"grapes,hard cheese,margarine,specialty fat,newspapers"
7527,"sausage,finished products,semi-finished bread,soda"
7528,soda
7529,"beef,soda,newspapers"
7530,"whole milk,butter,curd,rubbing alcohol"
7531,oil
7532,"other vegetables,whole milk,beverages,flour,flower (seeds)"
7533,"pip fruit,butter,yogurt"
7534,"frankfurter,beef,root vegetables,butter milk,chocolate"
7535,whole milk
7536,"rolls/buns,shopping bags"
7537,"hamburger meat,root vegetables,whole milk,frozen vegetables,rolls/buns,Instant food products"
7538,"chicken,spread cheese,frozen meals,domestic eggs"
7539,"sausage,other vegetables,whipped/sour cream,ice cream,domestic eggs,rolls/buns,coffee,bottled water,newspapers"
7540,"hamburger meat,berries,other vegetables,whole milk,beverages,soft cheese,hard cheese,pastry,sauces,waffles"
7541,"sausage,pork,citrus fruit,root vegetables,other vegetables,curd,soft cheese,hard cheese,cream cheese,frozen dessert,roll products,rice,oil,coffee,fruit/vegetable juice,chocolate,abrasive cleaner"
7542,margarine
7543,"grapes,other vegetables,whole milk,butter,coffee,bottled water"
7544,canned beer
7545,bottled beer
7546,"hamburger meat,pip fruit,other vegetables,whole milk,curd,roll products"
7547,shopping bags
7548,"citrus fruit,tropical fruit,grapes,root vegetables,herbs,other vegetables,whole milk,frozen vegetables,rice,dog food,bottled water,misc. beverages,fruit/vegetable juice,napkins"
7549,"root vegetables,domestic eggs,white bread"
7550,"berries,whole milk,yogurt,sugar,cling film/bags,house keeping products"
7551,"whole milk,butter,curd,whipped/sour cream,newspapers"
7552,"frankfurter,pork,beef,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,semi-finished bread,pickled vegetables,soda,newspapers"
7553,"other vegetables,whole milk,pastry,margarine,bottled water"
7554,"cream cheese,rolls/buns,brown bread"
7555,"citrus fruit,yogurt,rolls/buns,pastry"
7556,"tropical fruit,other vegetables,whole milk,pastry,rice,flower (seeds)"
7557,"other vegetables,rolls/buns"
7558,"brown bread,sugar,canned fish,coffee,soda"
7559,specialty bar
7560,"processed cheese,rolls/buns,specialty chocolate"
7561,"chicken,pork,frozen vegetables,margarine"
7562,"sausage,sliced cheese,rolls/buns,fruit/vegetable juice"
7563,"sausage,rolls/buns,canned beer"
7564,"chicken,other vegetables,chewing gum,shopping bags"
7565,"cream cheese,processed cheese,specialty bar"
7566,"other vegetables,whole milk,chocolate"
7567,"pastry,canned beer"
7568,soda
7569,"citrus fruit,other vegetables,whole milk,soda"
7570,"whole milk,cream cheese,chewing gum"
7571,"curd,fruit/vegetable juice,specialty chocolate"
7572,other vegetables
7573,"sausage,chicken,berries,root vegetables,other vegetables,butter milk,rolls/buns,salt,mustard,canned fish,coffee,bottled water,fruit/vegetable juice,cling film/bags,newspapers"
7574,"beef,whole milk,sliced cheese"
7575,"yogurt,rolls/buns"
7576,"finished products,butter,curd,soda"
7577,"grapes,fruit/vegetable juice,red/blush wine,long life bakery product,waffles,specialty chocolate,shopping bags"
7578,"frozen vegetables,flour,bottled beer,liquor (appetizer),salty snack,dishes"
7579,"sausage,tropical fruit,pip fruit,spices,pet care,canned beer"
7580,"pork,citrus fruit,other vegetables,whole milk,whipped/sour cream,specialty cheese,domestic eggs,canned vegetables,fruit/vegetable juice,canned beer,specialty bar"
7581,UHT-milk
7582,mayonnaise
7583,"tropical fruit,whole milk,pickled vegetables,soda"
7584,"turkey,seasonal products"
7585,"sausage,hard cheese,pastry"
7586,"rolls/buns,brown bread,specialty bar"
7587,"soda,bottled beer,liquor,red/blush wine"
7588,roll products
7589,soda
7590,"sausage,pip fruit,root vegetables,whole milk,rolls/buns,pastry,coffee"
7591,"other vegetables,whole milk,brown bread,margarine"
7592,"sausage,rolls/buns,red/blush wine,shopping bags"
7593,"other vegetables,whole milk,curd,whipped/sour cream,domestic eggs,brown bread,flour,coffee"
7594,"yogurt,domestic eggs,rolls/buns"
7595,"meat,root vegetables,whole milk,curd,pastry,brandy"
7596,"frankfurter,pork,other vegetables,brown bread,pickled vegetables,coffee,newspapers"
7597,"other vegetables,whole milk,frozen meals,pastry,fruit/vegetable juice,long life bakery product,shopping bags"
7598,"berries,yogurt,shopping bags"
7599,rolls/buns
7600,beverages
7601,flour
7602,"frankfurter,ham,whole milk,cream cheese,processed cheese,white bread,shopping bags"
7603,"UHT-milk,rolls/buns"
7604,"citrus fruit,tropical fruit,onions,other vegetables,pastry,bottled water,bathroom cleaner,newspapers"
7605,"other vegetables,butter,bottled water,detergent"
7606,"whole milk,frozen meals,mustard,canned fish,bottled beer"
7607,bottled beer
7608,"onions,brown bread"
7609,"whole milk,curd,yogurt,artif. sweetener,rum,hygiene articles,napkins,photo/film"
7610,cookware
7611,"beef,citrus fruit,other vegetables"
7612,"chicken,grapes"
7613,"sausage,berries,whipped/sour cream,shopping bags"
7614,"baking powder,coffee,canned beer"
7615,rolls/buns
7616,long life bakery product
7617,cookware
7618,"pip fruit,grapes,yogurt,hard cheese,napkins"
7619,"citrus fruit,frozen meals,canned beer,red/blush wine"
7620,"hamburger meat,pickled vegetables,hygiene articles"
7621,"chicken,root vegetables"
7622,"beef,instant coffee"
7623,soda
7624,"ham,berries,onions,whole milk,butter milk,yogurt,whipped/sour cream,cream cheese,mayonnaise,pastry,semi-finished bread,chocolate,specialty chocolate,hygiene articles,cling film/bags"
7625,"citrus fruit,root vegetables,rolls/buns"
7626,hygiene articles
7627,"citrus fruit,tropical fruit,dessert,fruit/vegetable juice"
7628,"bottled beer,light bulbs"
7629,photo/film
7630,soda
7631,"sausage,rolls/buns,soda,chocolate"
7632,whole milk
7633,"citrus fruit,yogurt,soda"
7634,"cat food,soda,candy"
7635,"rolls/buns,pastry,candy"
7636,"cake bar,specialty chocolate"
7637,"yogurt,long life bakery product"
7638,"frankfurter,pork,tropical fruit,pip fruit,other vegetables,whole milk,dessert,whipped/sour cream,cream cheese,frozen meals,cat food,salty snack,cake bar,chewing gum,specialty bar,seasonal products"
7639,"sausage,ham,citrus fruit,root vegetables,other vegetables,whole milk,soft cheese,processed cheese,frozen vegetables,salt,oil,margarine,soda,fruit/vegetable juice,bottled beer,chocolate"
7640,"frozen meals,specialty bar"
7641,whole milk
7642,"sausage,tropical fruit,berries,yogurt,shopping bags"
7643,"pork,packaged fruit/vegetables,ice cream,oil,detergent"
7644,"root vegetables,other vegetables,canned fish,shopping bags"
7645,waffles
7646,"berries,root vegetables,whole milk,butter,rolls/buns,salty snack"
7647,"hamburger meat,frozen meals,red/blush wine"
7648,waffles
7649,"chicken,frozen vegetables,soda,canned beer,hygiene articles"
7650,"chicken,tropical fruit,root vegetables,whole milk,white bread,specialty bar,shopping bags"
7651,"frankfurter,whole milk,dessert,white bread,shopping bags"
7652,cooking chocolate
7653,"pork,canned beer"
7654,"root vegetables,whole milk,rolls/buns,zwieback,newspapers"
7655,"cream cheese,brown bread"
7656,chocolate
7657,"brown bread,hair spray"
7658,"chicken,other vegetables,whole milk,curd,long life bakery product"
7659,"turkey,roll products,dishes"
7660,"other vegetables,whole milk,cake bar,detergent"
7661,grapes
7662,"frozen potato products,ketchup,chocolate,hygiene articles,shopping bags"
7663,"dog food,pet care,shopping bags"
7664,"hamburger meat,whole milk,butter,UHT-milk,cat food,pet care,detergent"
7665,"tropical fruit,bottled beer"
7666,citrus fruit
7667,"sausage,whole milk,curd,cat food"
7668,"pip fruit,yogurt,brown bread"
7669,"tropical fruit,curd,yogurt,whipped/sour cream"
7670,"frankfurter,frozen potato products,rolls/buns,specialty fat"
7671,sausage
7672,baking powder
7673,bottled water
7674,root vegetables
7675,bottled beer
7676,zwieback
7677,"root vegetables,sliced cheese"
7678,"sausage,rolls/buns,fruit/vegetable juice,cake bar"
7679,"condensed milk,coffee,shopping bags"
7680,"citrus fruit,other vegetables,beverages,snack products"
7681,"other vegetables,hard cheese,frozen vegetables,fruit/vegetable juice,long life bakery product"
7682,pet care
7683,"yogurt,canned beer"
7684,"pip fruit,condensed milk,bottled beer,red/blush wine,chocolate,shopping bags"
7685,"whole milk,brown bread,soda,bottled beer,salty snack,long life bakery product,chocolate,shopping bags"
7686,"other vegetables,ice cream"
7687,"meat,ice cream,rolls/buns,soda,long life bakery product,napkins"
7688,whole milk
7689,"rolls/buns,dishes"
7690,"ham,root vegetables,butter,UHT-milk,rolls/buns,pasta,sugar,coffee,soda"
7691,"honey,flower (seeds)"
7692,"chicken,citrus fruit,cat food,white wine,shopping bags"
7693,white wine
7694,"semi-finished bread,bottled beer,red/blush wine"
7695,"frankfurter,pork,whole milk,yogurt,UHT-milk,brown bread"
7696,"other vegetables,curd,whipped/sour cream,pastry,baking powder,canned fruit"
7697,"whole milk,pasta,long life bakery product,chocolate"
7698,sausage
7699,"tropical fruit,root vegetables,whole milk,hard cheese,curd cheese,sugar,canned fish"
7700,"other vegetables,whole milk,soda"
7701,"soda,bottled beer"
7702,specialty bar
7703,"pork,berries,whole milk,butter,yogurt,whipped/sour cream,hard cheese"
7704,"butter,sliced cheese,frozen dessert,rolls/buns,pastry,soda,bottled beer"
7705,"yogurt,napkins"
7706,"tropical fruit,pip fruit,grapes"
7707,bottled beer
7708,"sausage,pip fruit,berries,whole milk,curd,dessert,butter milk,yogurt,whipped/sour cream,soft cheese,sliced cheese,curd cheese,domestic eggs,rolls/buns,sugar,long life bakery product"
7709,"grapes,hard cheese"
7710,"pork,beef,whole milk,frozen vegetables,sugar,canned beer,detergent,skin care,napkins,flower (seeds)"
7711,citrus fruit
7712,"yogurt,liquor (appetizer),nut snack,long life bakery product,hygiene articles,shopping bags"
7713,"brandy,liquor,liquor (appetizer),long life bakery product,dish cleaner,napkins,dishes,shopping bags"
7714,"turkey,frozen potato products,soda"
7715,"whole milk,cake bar"
7716,"finished products,grapes,other vegetables,curd,beverages,rolls/buns,pastry,waffles,specialty bar"
7717,"onions,other vegetables,soft cheese,hard cheese,salad dressing,specialty chocolate"
7718,"yogurt,specialty chocolate"
7719,"curd,seasonal products,female sanitary products"
7720,"beef,root vegetables,onions,herbs,whole milk,curd cheese,rolls/buns,oil,jam,bottled water,waffles"
7721,misc. beverages
7722,"sausage,whole milk,curd,bottled beer"
7723,"citrus fruit,whipped/sour cream,brown bread,bottled water,hygiene articles"
7724,"chicken,pork,herbs,other vegetables,canned fish,misc. beverages,napkins,newspapers"
7725,"other vegetables,butter milk,bottled water,bottled beer"
7726,ice cream
7727,"sausage,chicken,grapes,whole milk,cream cheese,ice cream,domestic eggs,pickled vegetables,soda,chocolate,shopping bags"
7728,"tropical fruit,whole milk,salty snack,kitchen towels"
7729,"pip fruit,butter,soft cheese,white bread,misc. beverages"
7730,"grapes,brown bread"
7731,"berries,whole milk"
7732,bottled water
7733,"pork,tropical fruit,nuts/prunes,rolls/buns,newspapers"
7734,"pork,tropical fruit,processed cheese,specialty vegetables,bottled water,soda,bottled beer"
7735,"sausage,rolls/buns"
7736,rolls/buns
7737,"whole milk,ice cream,soda"
7738,"beef,citrus fruit,grapes,berries,butter milk,yogurt,sliced cheese,rolls/buns"
7739,"beef,soft cheese,chewing gum"
7740,"ham,tropical fruit,root vegetables,other vegetables,whole milk,butter,yogurt,frozen vegetables,frozen dessert,frozen potato products,white bread,pasta,honey,chewing gum,detergent,hygiene articles"
7741,"other vegetables,butter"
7742,"hamburger meat,hard cheese,sauces,coffee,toilet cleaner,shopping bags"
7743,"berries,whole milk,whipped/sour cream,pastry,soda,chewing gum,chocolate,candy"
7744,"sausage,processed cheese,white bread"
7745,"citrus fruit,other vegetables,UHT-milk,domestic eggs,white bread,pickled vegetables"
7746,"whole milk,curd,yogurt,whipped/sour cream,margarine"
7747,citrus fruit
7748,"bottled water,long life bakery product"
7749,"sausage,mayonnaise,rolls/buns,shopping bags"
7750,"meat,other vegetables,whole milk,pastry,soda,newspapers"
7751,"tropical fruit,coffee,candy,soap,shopping bags"
7752,"pip fruit,whole milk,brown bread,fruit/vegetable juice,bottled beer,red/blush wine,shopping bags"
